CodeValue,ShortDescription,Description,Namespace,GraduationPlanTypeMap
Career and Technical Education,Career and Technical Education,Career and Technical Education,http://www.ed-fi.org/Descriptor/GraduationPlanTypeDescriptor.xml,Career and Technical Education
Distinguished,Distinguished,Distinguished,http://www.ed-fi.org/Descriptor/GraduationPlanTypeDescriptor.xml,Distinguished
Minimum,Minimum,Minimum,http://www.ed-fi.org/Descriptor/GraduationPlanTypeDescriptor.xml,Minimum
Recommended,Recommended,Recommended,http://www.ed-fi.org/Descriptor/GraduationPlanTypeDescriptor.xml,Recommended
Standard,Standard,Standard,http://www.ed-fi.org/Descriptor/GraduationPlanTypeDescriptor.xml,Standard
