CodeValue,ShortDescription,Description,Namespace
Local Neglected Program,DEPRECATED: Local Neglected Program,DEPRECATED: Local Neglected Program,uri://ed-fi.org/TitleIPartAParticipantDescriptor
Private school students participating,Private school students participating,Private school students participating,uri://ed-fi.org/TitleIPartAParticipantDescriptor
Public Schoolwide Program,Public Schoolwide Program,Public Schoolwide Program,uri://ed-fi.org/TitleIPartAParticipantDescriptor
Public Targeted Assistance Program,Public Targeted Assistance Program,Public Targeted Assistance Program,uri://ed-fi.org/TitleIPartAParticipantDescriptor
Was not served,Was not served,Was not served,uri://ed-fi.org/TitleIPartAParticipantDescriptor
