CodeValue,ShortDescription,Description,Namespace,PerformanceBaseConversion
Advanced,Advanced,Advanced,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Advanced
Basic,Basic,Basic,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Basic
Below Basic,Below Basic,Below Basic,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Below Basic
Fail,Fail,Fail,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Fail
Pass,Pass,Pass,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Pass
Proficient,Proficient,Proficient,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Proficient
Well Below Basic,Well Below Basic,Well Below Basic,http://www.ed-fi.org/Descriptor/PerformanceLevelDescriptor.xml,Well Below Basic
