CodeValue,ShortDescription,Description,Namespace
IEP,IEP,IEP,uri://ed-fi.org/CalendarTypeDescriptor
Student Specific,Student Specific,Student Specific,uri://ed-fi.org/CalendarTypeDescriptor
Grade Level,Grade Level,Grade Level,uri://ed-fi.org/CalendarTypeDescriptor
School,School,School,uri://ed-fi.org/CalendarTypeDescriptor
Staff,Staff,Staff,uri://ed-fi.org/CalendarTypeDescriptor
