CodeValue,ShortDescription,Description,Namespace
Imminent Serious Physical Harm To Others,Imminent Serious Physical Harm To Others,Imminent Serious Physical Harm To Others,uri://ed-fi.org/RestraintEventReasonDescriptor
Imminent Serious Physical Harm To Themselves,Imminent Serious Physical Harm To Themselves,Imminent Serious Physical Harm To Themselves,uri://ed-fi.org/RestraintEventReasonDescriptor
Imminent Serious Property Destruction,Imminent Serious Property Destruction,Imminent Serious Property Destruction,uri://ed-fi.org/RestraintEventReasonDescriptor
