CodeValue,ShortDescription,Description,Namespace
Buena Vista Rancheria,Buena Vista Rancheria,Buena Vista Rancheria of Me-wuk Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Burns Paiute,Burns Paiute,Burns Paiute Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Cabazon,Cabazon,"Cabazon Band of Mission Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Cachil DeHe,Cachil DeHe,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Caddo,Caddo,Caddo Nation of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Cahto,Cahto,Cahto Tribe of the Laytonville Rancheria,uri://ed-fi.org/TribalAffiliationDescriptor
Cahuilla,Cahuilla,"Cahuilla Band of Mission Indians of the Cahuilla Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
California Valley,California Valley,"California Valley Miwok Tribe, California",uri://ed-fi.org/TribalAffiliationDescriptor
Campo,Campo,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Cantwell,Cantwell,Native Village of Cantwell,uri://ed-fi.org/TribalAffiliationDescriptor
Capitan Grande,Capitan Grande,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California)",uri://ed-fi.org/TribalAffiliationDescriptor
Catawba,Catawba,Catawba Indian Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Cayuga Nation of New York,Cayuga Nation of New York,Cayuga Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Cedarville,Cedarville,"Cedarville Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Chalkyitsik,Chalkyitsik,Chalkyitsik Village,uri://ed-fi.org/TribalAffiliationDescriptor
Cheesh-Na,Cheesh-Na,Cheesh-Na Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Chefornak,Chefornak,Village of Chefornak,uri://ed-fi.org/TribalAffiliationDescriptor
Chehalis,Chehalis,Confederated Tribes of the Chehalis Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Chemehuevi,Chemehuevi,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Chenega,Chenega,Native Village of Chenega (aka Chanega),uri://ed-fi.org/TribalAffiliationDescriptor
Cher-Ae Heights,Cher-Ae Heights,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Cherokee,Cherokee,Cherokee Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Chevak,Chevak,Chevak Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Cheyenne River,Cheyenne River,"Cheyenne and Arapaho Tribes, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Cheyenne-Arapaho,Cheyenne-Arapaho,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, SD",uri://ed-fi.org/TribalAffiliationDescriptor
Chickahominy Indian Tribe,Inc.,"Chickahominy Indian Tribe, Inc.",uri://ed-fi.org/TribalAffiliationDescriptor
Chickaloon,Chickaloon,Chickaloon Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Chickasaw,Chickasaw,The Chickasaw Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Chicken Ranch,Chicken Ranch,Chicken Ranch Rancheria of Me-wuk Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Chignik Bay,Chignik Bay,Chignik Bay Tribal Council,uri://ed-fi.org/TribalAffiliationDescriptor
Chignik Lagoon,Chignik Lagoon,Native Village of Chignik Lagoon,uri://ed-fi.org/TribalAffiliationDescriptor
Chignik Lake,Chignik Lake,Chignik Lake Village,uri://ed-fi.org/TribalAffiliationDescriptor
Chilkat,Chilkat,Chilkat Indian Village (Klukwan),uri://ed-fi.org/TribalAffiliationDescriptor
Chilkoot,Chilkoot,Chilkoot Indian Association (Haines),uri://ed-fi.org/TribalAffiliationDescriptor
Chinik,Chinik,Chinik Eskimo Community (Golovin),uri://ed-fi.org/TribalAffiliationDescriptor
Chippewa-Cree,Chippewa-Cree,"Chippewa Cree Indians of the Rocky Boy's Reservation, MT",uri://ed-fi.org/TribalAffiliationDescriptor
Chitimacha,Chitimacha,Chitimacha Tribe of Louisiana,uri://ed-fi.org/TribalAffiliationDescriptor
Chitina,Chitina,Native Village of Chitina,uri://ed-fi.org/TribalAffiliationDescriptor
Choctaw,Choctaw,The Choctaw Nation of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Chuathbaluk,Chuathbaluk,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",uri://ed-fi.org/TribalAffiliationDescriptor
Chuloonawick,Chuloonawick,Chuloonawick Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Circle,Circle,Circle Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
Citizen Potawatomi,Citizen Potawatomi,Citizen Potawatomi Nation (Oklahoma),uri://ed-fi.org/TribalAffiliationDescriptor
Clark's Point,Clark's Point,Village of Clarks Point,uri://ed-fi.org/TribalAffiliationDescriptor
Cloverdale,Cloverdale,Cloverdale Rancheria of Pomo Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Cocopah,Cocopah,Cocopah Tribe of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
Coeur D'Alene,Coeur D'Alene,Coeur D'Alene Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Cold Springs,Cold Springs,Cold Springs Rancheria of Mono Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Colorado River,Colorado River,"Colorado River Indian Tribes of the Colorado Indian Reservation, Arizona and California",uri://ed-fi.org/TribalAffiliationDescriptor
Comanche,Comanche,"Comanche Nation, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Confederated Colville,Confederated Colville,Confederated Tribes of the Colville Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Confederated Coos,Confederated Coos,"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians",uri://ed-fi.org/TribalAffiliationDescriptor
Confederated Goshute,Confederated Goshute,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",uri://ed-fi.org/TribalAffiliationDescriptor
Confederated Salish,Confederated Salish,Confederated Salish & Kootenai Tribes of the Flathead Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Confederated Yakama,Confederated Yakama,Confederated Tribes and Bands of the Yakama Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Coquille,Coquille,Coquille Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Cortina,Cortina,Kletsel Dehe Band of Wintun Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Council,Council,Native Village of Council,uri://ed-fi.org/TribalAffiliationDescriptor
Coushatta,Coushatta,Coushatta Tribe of Louisiana,uri://ed-fi.org/TribalAffiliationDescriptor
Cow Creek,Cow Creek,Cow Creek Band of Umpqua Tribe of Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Cowlitz,Cowlitz,Cowlitz Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Coyote Valley,Coyote Valley,Coyote Valley Band of Pomo Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Craig,Craig,Craig Tribal Association,uri://ed-fi.org/TribalAffiliationDescriptor
Crooked Creek,Crooked Creek,Village of Crooked Creek,uri://ed-fi.org/TribalAffiliationDescriptor
Crow,Crow,Crow Tribe of Montana,uri://ed-fi.org/TribalAffiliationDescriptor
Crow Creek,Crow Creek,"Crow Creek Sioux Tribe of the Crow Creek Reservation, SD",uri://ed-fi.org/TribalAffiliationDescriptor
Curyung,Curyung,Curyung Tribal Council,uri://ed-fi.org/TribalAffiliationDescriptor
Deering,Deering,Native Village of Deering,uri://ed-fi.org/TribalAffiliationDescriptor
