CodeValue,ShortDescription,Description,Namespace
Koyukuk,Koyukuk,Koyukuk Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Kwethluk,Kwethluk,Organized Village of Kwethluk,uri://ed-fi.org/TribalAffiliationDescriptor
Kwigillingok,Kwigillingok,Native Village of Kwigillingok,uri://ed-fi.org/TribalAffiliationDescriptor
Kwinhagak,Kwinhagak,Native Village of Kwinhagak (aka Quinhagak),uri://ed-fi.org/TribalAffiliationDescriptor
La Jolla,La Jolla,"La Jolla Band of Luiseno Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
La Posta,La Posta,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Lac Courte Oreilles,Lac Courte Oreilles,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
Lac du Flambeau,Lac du Flambeau,Lac du Flambeau Band of Lake Superior Chippewa Indians of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
Lac Vieux,Lac Vieux,Lac Vieux Desert Band of Lake Superior Chippewa Indians of MI,uri://ed-fi.org/TribalAffiliationDescriptor
Larsen Bay,Larsen Bay,Native Village of Larsen Bay,uri://ed-fi.org/TribalAffiliationDescriptor
Las Vegas,Las Vegas,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Leech Lake,Leech Lake,Minnesota Chippewa Tribe - Leech Lake Band,uri://ed-fi.org/TribalAffiliationDescriptor
Levelock,Levelock,Levelock Village,uri://ed-fi.org/TribalAffiliationDescriptor
Lime,Lime,Lime Village,uri://ed-fi.org/TribalAffiliationDescriptor
Little River,Little River,"Little River Band of Ottawa Indians, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Little Traverse,Little Traverse,"Little Traverse Bay Bands of Odawa Indians, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Lone Pine,Lone Pine,Lone Pine Paiute-Shoshone Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Los Coyotes,Los Coyotes,"Los Coyotes Band of Cahuilla & Cupeno Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Lovelock,Lovelock,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Lower Brule,Lower Brule,"Lower Brule Sioux Tribe of the Lower Brule Reservation, SD",uri://ed-fi.org/TribalAffiliationDescriptor
Lower Elwha,Lower Elwha,Lower Elwha Tribal Community,uri://ed-fi.org/TribalAffiliationDescriptor
Lower Kalskag,Lower Kalskag,Village of Lower Kalskag,uri://ed-fi.org/TribalAffiliationDescriptor
Lower Sioux,Lower Sioux,Lower Sioux Indian Community in the State of Minnesota,uri://ed-fi.org/TribalAffiliationDescriptor
Lummi,Lummi,Lummi Tribe of the Lummi Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Lytton,Lytton,Lytton Rancheria of California,uri://ed-fi.org/TribalAffiliationDescriptor
Makah,Makah,Makah Indian Tribe of the Makah Indian Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Manchester,Manchester,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Manley Hot Springs,Manley Hot Springs,Manley Hot Springs Village,uri://ed-fi.org/TribalAffiliationDescriptor
Manokotak,Manokotak,Manokotak Village,uri://ed-fi.org/TribalAffiliationDescriptor
Manzanita,Manzanita,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, Califonria",uri://ed-fi.org/TribalAffiliationDescriptor
Marshall,Marshall,Native Village of Marshall (aka Fortuna Ledge),uri://ed-fi.org/TribalAffiliationDescriptor
Mary's Igloo,Mary's Igloo,Native Village of Mary's Igloo,uri://ed-fi.org/TribalAffiliationDescriptor
Mashantucket Pequot,Mashantucket Pequot,Mashantucket Pequot Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Mashpee,Mashpee,Mashpee Wampanoag Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Match-e-be-nash-she-wish Band,Match-e-be-nash-she-wish Band,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,uri://ed-fi.org/TribalAffiliationDescriptor
Mcgrath,Mcgrath,McGrath Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Mechoopda,Mechoopda,"Mechoopda Indian Tribe of Chico Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Mekoryuk,Mekoryuk,Native Village of Mekoryuk,uri://ed-fi.org/TribalAffiliationDescriptor
Menominee,Menominee,Menominee Indian Tribe of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
Mentasta,Mentasta,Mentasta Traditional Council,uri://ed-fi.org/TribalAffiliationDescriptor
Mesa Grande,Mesa Grande,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Mescalero,Mescalero,Mescalero Apache Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Metlakatla,Metlakatla,"Metlakatla Indian Community, Annette Island Reserve",uri://ed-fi.org/TribalAffiliationDescriptor
Miami of Oklahoma,Miami of Oklahoma,Miami Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Miccosukee,Miccosukee,Miccosukee Tribe of Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Middletown,Middletown,Middletown Rancheria of Pomo Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Mille Lacs,Mille Lacs,Minnesota Chippewa Tribe - Mille Lacs Band,uri://ed-fi.org/TribalAffiliationDescriptor
Minnesota Chippewa,Minnesota Chippewa,Minnesota Chippewa Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Minto,Minto,Native Village of Minto,uri://ed-fi.org/TribalAffiliationDescriptor
Mississippi Choctaw,Mississippi Choctaw,Mississippi Band of Choctaw Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Moapa,Moapa,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Modoc,Modoc,The Modoc Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Mohegan,Mohegan,Mohegan Tribe of Indians of Connecticut,uri://ed-fi.org/TribalAffiliationDescriptor
Mooretown,Mooretown,Mooretown Rancheria of Maidu Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Morongo,Morongo,"Morongo Band of Mission Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Muckleshoot,Muckleshoot,Muckleshoot Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Muscogee,Muscogee,The Muscogee (Creek) Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Naknek,Naknek,Naknek Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nanwalek,Nanwalek,Native Village of Nanwalek (aka English Bay),uri://ed-fi.org/TribalAffiliationDescriptor
Napaimute,Napaimute,Native Village of Napaimute,uri://ed-fi.org/TribalAffiliationDescriptor
Napakiak,Napakiak,Native Village of Napakiak,uri://ed-fi.org/TribalAffiliationDescriptor
Napaskiak,Napaskiak,Native Village of Napaskiak,uri://ed-fi.org/TribalAffiliationDescriptor
Narragansett,Narragansett,Narragansett Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Navajo,Navajo,"Navajo Nation, Arizona, New Mexico & Utah",uri://ed-fi.org/TribalAffiliationDescriptor
Nelson Lagoon,Nelson Lagoon,Native Village of Nelson Lagoon,uri://ed-fi.org/TribalAffiliationDescriptor
Nenana,Nenana,Nenana Native Association,uri://ed-fi.org/TribalAffiliationDescriptor
New Koliganek,New Koliganek,New Koliganek Village Council,uri://ed-fi.org/TribalAffiliationDescriptor
New Stuyahok,New Stuyahok,New Stuyahok Village,uri://ed-fi.org/TribalAffiliationDescriptor
Newhalen,Newhalen,Newhalen Village,uri://ed-fi.org/TribalAffiliationDescriptor
Newtok,Newtok,Newtok Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nez Perce,Nez Perce,Nez Perce Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Nightmute,Nightmute,Native Village of Nightmute,uri://ed-fi.org/TribalAffiliationDescriptor
Nikolai,Nikolai,Nikolai Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nikolski,Nikolski,Native Village of Nikolski,uri://ed-fi.org/TribalAffiliationDescriptor
Ninilchik,Ninilchik,Ninilchik Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nisqually,Nisqually,Nisqually Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Noatak,Noatak,Native Village of Noatak,uri://ed-fi.org/TribalAffiliationDescriptor
Nome,Nome,Nome Eskimo Community,uri://ed-fi.org/TribalAffiliationDescriptor
Nondalton,Nondalton,Nondalton Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nooksack,Nooksack,Nooksack Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Noorvik,Noorvik,Noorvik Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
Northern Arapaho,Northern Arapaho,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",uri://ed-fi.org/TribalAffiliationDescriptor
Northern Cheyenne,Northern Cheyenne,Northern Cheyenne Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Northfork,Northfork,Northfork Rancheria of Mono Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Northway,Northway,Northway Village,uri://ed-fi.org/TribalAffiliationDescriptor
Northwestern Shoshone,Northwestern Shoshone,Northwestern Band of Shoshone Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Nottawaseppi Potawatomi,Nottawaseppi Potawatomi,"Nottawaseppi Huron Band of the Potawatomi, MI",uri://ed-fi.org/TribalAffiliationDescriptor
Nuiqsut,Nuiqsut,Native Village of Nuiqsut (aka Nooiksut),uri://ed-fi.org/TribalAffiliationDescriptor
Nulato,Nulato,Nulato Village,uri://ed-fi.org/TribalAffiliationDescriptor
Nunakauyarmiut,Nunakauyarmiut,Nunakauyarmiut Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Nunam Iqua,Nunam Iqua,Native Village of Nunam Iqua,uri://ed-fi.org/TribalAffiliationDescriptor
Nunapitchuk,Nunapitchuk,Native Village of Nunapitchuk,uri://ed-fi.org/TribalAffiliationDescriptor
Oglala Sioux,Oglala Sioux,Oglala Sioux Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Ohkay,Ohkay,Ohkay Owingeh,uri://ed-fi.org/TribalAffiliationDescriptor
Ohogamuit,Ohogamuit,Village of Ohogamiut,uri://ed-fi.org/TribalAffiliationDescriptor
Omaha,Omaha,Omaha Tribe of Nebraska,uri://ed-fi.org/TribalAffiliationDescriptor
Oneida  Nation of New York,Oneida  Nation of New York,Oneida  Nation of New York,uri://ed-fi.org/TribalAffiliationDescriptor
Oneida Nation (Wisconsin),Oneida Nation (Wisconsin),Oneida Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Onondaga,Onondaga,Onondaga Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Orutsararmiut,Orutsararmiut,Orutsararmiut Traditional Native Council,uri://ed-fi.org/TribalAffiliationDescriptor
Osage,Osage,The Osage Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Oscarville,Oscarville,Oscarville Traditional Village,uri://ed-fi.org/TribalAffiliationDescriptor
Otoe-Missouria,Otoe-Missouria,"Otoe-Missouria Tribe of Indians, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Ottawa of Oklahoma,Ottawa of Oklahoma,Ottawa Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Ouzinkie,Ouzinkie,Native Village of Ouzinkie,uri://ed-fi.org/TribalAffiliationDescriptor
Paimiut,Paimiut,Native Village of Paimiut,uri://ed-fi.org/TribalAffiliationDescriptor
Paiute of Utah,Paiute of Utah,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",uri://ed-fi.org/TribalAffiliationDescriptor
Paiute-Shoshone,Paiute-Shoshone,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Pala,Pala,Pala Band of Mission Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Pamunkey Indian Tribe,Pamunkey Indian Tribe,Pamunkey Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Pascua Yaqui,Pascua Yaqui,Pascua Yaqui Tribe of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
Paskenta,Paskenta,Paskenta Band of Nomlaki Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Passamaquaddy Pleasant Point,Passamaquaddy Pleasant Point,Passamaquoddy Tribe - Pleasant Point,uri://ed-fi.org/TribalAffiliationDescriptor
Passamaquoddy Indian Township,Passamaquoddy Indian Township,Passamaquoddy Tribe - Indian Township,uri://ed-fi.org/TribalAffiliationDescriptor
Pauloff Harbor,Pauloff Harbor,Pauloff Harbor Village,uri://ed-fi.org/TribalAffiliationDescriptor
Pauma,Pauma,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Pawnee,Pawnee,Pawnee Nation of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Pechanga,Pechanga,"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Pedro Bay,Pedro Bay,Pedro Bay Village,uri://ed-fi.org/TribalAffiliationDescriptor
Penobscot,Penobscot,Penobscot Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Peoria,Peoria,Peoria Tribe of Indians of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Perryville,Perryville,Native Village of Perryville,uri://ed-fi.org/TribalAffiliationDescriptor
Petersburg,Petersburg,Petersburg Indian Association,uri://ed-fi.org/TribalAffiliationDescriptor
Picayune,Picayune,Picayune Rancheria of Chukchansi Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Pilot Point,Pilot Point,Native Village of Pilot Point,uri://ed-fi.org/TribalAffiliationDescriptor
Pilot Station,Pilot Station,Pilot Station Traditional Village,uri://ed-fi.org/TribalAffiliationDescriptor
Pinoleville,Pinoleville,"Pinoleville Pomo Nation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Pit River,Pit River,"Pit River Tribe, California",uri://ed-fi.org/TribalAffiliationDescriptor
Pitka's Point,Pitka's Point,Native Village of Pitka's Point,uri://ed-fi.org/TribalAffiliationDescriptor
Platinum,Platinum,Platinum Traditional Village,uri://ed-fi.org/TribalAffiliationDescriptor
Poarch,Poarch,Poarch Band of Creeks,uri://ed-fi.org/TribalAffiliationDescriptor
Point Hope IRA,Point Hope IRA,Native Village of Point Hope,uri://ed-fi.org/TribalAffiliationDescriptor
Point Lay IRA,Point Lay IRA,Native Village of Point Lay,uri://ed-fi.org/TribalAffiliationDescriptor
Pokagon,Pokagon,"Pokagon Band of Potawatomi Indians, Michigan & Indiana",uri://ed-fi.org/TribalAffiliationDescriptor
Ponca of Nebraska,Ponca of Nebraska,Ponca Tribe of Nebraska,uri://ed-fi.org/TribalAffiliationDescriptor
Ponca of Oklahoma,Ponca of Oklahoma,Ponca Tribe of Indians of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Port Gamble,Port Gamble,Port Gamble S'Klallam Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Port Graham,Port Graham,Native Village of Port Graham,uri://ed-fi.org/TribalAffiliationDescriptor
Port Heiden,Port Heiden,Native Village of Port Heiden,uri://ed-fi.org/TribalAffiliationDescriptor
Port Lions,Port Lions,Native Village of Port Lions,uri://ed-fi.org/TribalAffiliationDescriptor
Portage Creek,Portage Creek,Portage Creek Village (aka Ohgsenakale),uri://ed-fi.org/TribalAffiliationDescriptor
Potter Valley,Potter Valley,"Potter Valley Tribe, California",uri://ed-fi.org/TribalAffiliationDescriptor
Prairie Band,Prairie Band,Prairie Band of Potawatomi Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Prairie Island,Prairie Island,Prairie Island Indian Community in the State of MN,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Acoma,Pueblo of Acoma,Pueblo of Acoma,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Cochiti,Pueblo of Cochiti,Pueblo of Cochiti,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Isleta,Pueblo of Isleta,Pueblo of Isleta,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Jemez,Pueblo of Jemez,Pueblo of Jemez,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Laguna,Pueblo of Laguna,Pueblo of Laguna,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Nambe,Pueblo of Nambe,Pueblo of Nambe,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Picuris,Pueblo of Picuris,Pueblo of Picuris,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Pojoaque,Pueblo of Pojoaque,Pueblo of Pojoaque,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of San Felipe,Pueblo of San Felipe,Pueblo of San Felipe,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of San Ildefonso,Pueblo of San Ildefonso,Pueblo of San Ildefonso,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Sandia,Pueblo of Sandia,Pueblo of Sandia,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Santa Ana,Pueblo of Santa Ana,Pueblo of Santa Ana,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Santa Clara,Pueblo of Santa Clara,Pueblo of Santa Clara,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Taos,Pueblo of Taos,Pueblo of Taos,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Tesuque,Pueblo of Tesuque,Pueblo of Tesuque,uri://ed-fi.org/TribalAffiliationDescriptor
Pueblo of Zia,Pueblo of Zia,Pueblo of Zia,uri://ed-fi.org/TribalAffiliationDescriptor
Puyallup,Puyallup,Puyallup Tribe of the Puyallup Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Pyramid Lake,Pyramid Lake,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Qagan Tayagungin,Qagan Tayagungin,Qagan Tayagungin Tribe of Sand Point Village,uri://ed-fi.org/TribalAffiliationDescriptor
Qawalangin,Qawalangin,Qawalangin Tribe of Unalaska,uri://ed-fi.org/TribalAffiliationDescriptor
Quapaw,Quapaw,The Quapaw Tribe of Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Quartz Valley,Quartz Valley,Quartz Valley Indian Community of the Quartz Valley Reservation of California,uri://ed-fi.org/TribalAffiliationDescriptor
Quechan,Quechan,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Quileute,Quileute,Quileute Tribe of the Quileute Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Quinault,Quinault,Quinault Indian Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Ramah,Ramah,Ramah Navajo Chapter,uri://ed-fi.org/TribalAffiliationDescriptor
Ramona,Ramona,"Ramona Band of Cahuilla, California",uri://ed-fi.org/TribalAffiliationDescriptor
Rampart,Rampart,Rampart Village,uri://ed-fi.org/TribalAffiliationDescriptor
Red Cliff,Red Cliff,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
Red Devil,Red Devil,Village of Red Devil,uri://ed-fi.org/TribalAffiliationDescriptor
Red Lake,Red Lake,"Red Lake Band of Chippewa Indians, Minnesota",uri://ed-fi.org/TribalAffiliationDescriptor
Redding,Redding,"Redding Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Redwood Valley,Redwood Valley,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,uri://ed-fi.org/TribalAffiliationDescriptor
Reno-Sparks,Reno-Sparks,"Reno-Sparks Indian Colony, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Resighini,Resighini,"Resighini Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Rincon,Rincon,"Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Robinson,Robinson,"Robinson Rancheria Band of Pomo Indians, CA",uri://ed-fi.org/TribalAffiliationDescriptor
Rosebud,Rosebud,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, SD",uri://ed-fi.org/TribalAffiliationDescriptor
Round Valley,Round Valley,"Round Valley Indian Tribes, Round Valley Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Ruby,Ruby,Native Village of Ruby,uri://ed-fi.org/TribalAffiliationDescriptor
Sac & Fox of Mississippi,Sac & Fox of Mississippi,Sac & Fox Tribe of the Mississippi in Iowa,uri://ed-fi.org/TribalAffiliationDescriptor
Sac and Fox Nation of Missouri in KS and NE,Sac and Fox Nation of Missouri in Kansas and Nebraska,Sac and Fox Nation of Missouri in Kansas and Nebraska,uri://ed-fi.org/TribalAffiliationDescriptor
Sac and Fox Nation,Oklahoma,"Sac and Fox Nation, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Saginaw Chippewa,Saginaw Chippewa,Saginaw Chippewa Indian Tribe of Michigan,uri://ed-fi.org/TribalAffiliationDescriptor
Saint Paul,Saint Paul,Saint Paul Island,uri://ed-fi.org/TribalAffiliationDescriptor
Saint Regis,Saint Regis,Saint Regis Mohawk Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Salamatoff,Salamatoff,Village of Salamatoff,uri://ed-fi.org/TribalAffiliationDescriptor
Salt River,Salt River,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Samish,Samish,Samish Indian Nation,uri://ed-fi.org/TribalAffiliationDescriptor
San Carlos,San Carlos,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
San Juan,San Juan,San Juan Southern Paiute Tribe of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
San Manuel,San Manuel,"San Manuel Band of Mission Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
San Pasqual,San Pasqual,San Pasqual Band of Diegueno Mission Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Santa Rosa,Santa Rosa,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Santa Rosa of Chuilla,Santa Rosa of Chuilla,"Santa Rosa Band of Cahuilla Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Santa Ynez,Santa Ynez,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Santee Sioux,Santee Sioux,"Santee Sioux Nation, Nebraska",uri://ed-fi.org/TribalAffiliationDescriptor
Sauk-Suiattle,Sauk-Suiattle,Sauk-Suiattle Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Sault Ste. Marie,Sault Ste. Marie,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Savoonga,Savoonga,Native Village of Savoonga,uri://ed-fi.org/TribalAffiliationDescriptor
Saxman,Saxman,Organized Village of Saxman,uri://ed-fi.org/TribalAffiliationDescriptor
Scammon Bay,Scammon Bay,Native Village of Scammon Bay,uri://ed-fi.org/TribalAffiliationDescriptor
Scotts Valley,Scotts Valley,Scotts Valley Band of Pomo Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Selawik,Selawik,Native Village of Selawik,uri://ed-fi.org/TribalAffiliationDescriptor
Seldovia,Seldovia,Seldovia Village Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Seminole,Seminole,Seminole Tribe of Florida,uri://ed-fi.org/TribalAffiliationDescriptor
Seminole of Oklahoma,Seminole of Oklahoma,The Seminole Nation of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Seneca,Seneca,Seneca Nation of Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Seneca-Cayuga,Seneca-Cayuga,Seneca-Cayuga Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Shageluk,Shageluk,Shageluk Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Shakopee,Shakopee,Shakopee Mdewakanton Sioux Community of Minnesota,uri://ed-fi.org/TribalAffiliationDescriptor
Shaktoolik,Shaktoolik,Native Village of Shaktoolik,uri://ed-fi.org/TribalAffiliationDescriptor
Shawnee,Shawnee,Shawnee Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Sherwood Valley,Sherwood Valley,Sherwood Valley Rancheria of Pomo Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Shingle Springs,Shingle Springs,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",uri://ed-fi.org/TribalAffiliationDescriptor
Shinnecock,Shinnecock,Shinnecock Indian Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Shishmaref IRA,Shishmaref IRA,Native Village of Shishmaref,uri://ed-fi.org/TribalAffiliationDescriptor
Shoalwater,Shoalwater,Shoalwater Bay Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Shoshone-Bannock,Shoshone-Bannock,Shoshone-Bannock Tribes of the Fort Hall Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Shoshone-Paiute,Shoshone-Paiute,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Shungnak,Shungnak,Native Village of Shungnak,uri://ed-fi.org/TribalAffiliationDescriptor
Siletz Tribe,Siletz Tribe,Confederated Tribes of Siletz Indians of Oregon,uri://ed-fi.org/TribalAffiliationDescriptor
Sisseton-Wahpeton,Sisseton-Wahpeton,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, SD",uri://ed-fi.org/TribalAffiliationDescriptor
Sitka,Sitka,Sitka Tribe of Alaska,uri://ed-fi.org/TribalAffiliationDescriptor
Skagway,Skagway,Skagway Village,uri://ed-fi.org/TribalAffiliationDescriptor
Skokomish,Skokomish,Skokomish Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Skull Valley,Skull Valley,Skull Valley Band of Goshute Indians of Utah,uri://ed-fi.org/TribalAffiliationDescriptor
Sleetmute,Sleetmute,Village of Sleetmute,uri://ed-fi.org/TribalAffiliationDescriptor
Snoqualmie,Snoqualmie,Snoqualmie Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Soboba,Soboba,"Soboba Band of Luiseno Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Sokaogon,Sokaogon,"Sokaogon Chippewa  Community, Wisconsin",uri://ed-fi.org/TribalAffiliationDescriptor
Solomon,Solomon,Village of Solomon,uri://ed-fi.org/TribalAffiliationDescriptor
South Naknek,South Naknek,South Naknek Village,uri://ed-fi.org/TribalAffiliationDescriptor
Southern Ute,Southern Ute,Southern Ute Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Spirit Lake,Spirit Lake,"Spirit Lake Tribe, North Dakota",uri://ed-fi.org/TribalAffiliationDescriptor
Spokane,Spokane,Spokane Tribe of the Spokane Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
