CodeValue,ShortDescription,Description,Namespace
Education Research,Education Research,Education Research,uri://ed-fi.org/ContentClassDescriptor
Presentation,Presentation,Presentation,uri://ed-fi.org/ContentClassDescriptor
Vendor Intervention Offering,Vendor Intervention Offering,Vendor Intervention Offering,uri://ed-fi.org/ContentClassDescriptor
Video,Video,Video,uri://ed-fi.org/ContentClassDescriptor
Written Activity,Written Activity,Written Activity,uri://ed-fi.org/ContentClassDescriptor
