CodeValue,ShortDescription,Description,Namespace
Individuals with Disabilities Education Act,Individuals with Disabilities Education Act,Individuals with Disabilities Education Act,uri://ed-fi.org/DisabilityDesignationDescriptor
Other,Other,Other,uri://ed-fi.org/DisabilityDesignationDescriptor
Section 504,Section 504,Section 504,uri://ed-fi.org/DisabilityDesignationDescriptor
