CodeValue,ShortDescription,Description,Namespace
Neglected Programs,Neglected Programs,Neglected Programs,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor
Juvenile Detention Facilities,Juvenile Detention Facilities,Juvenile Detention Facilities,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor
Juvenile Corrections,Juvenile Corrections,Juvenile Corrections,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor
Adult Corrections,Adult Corrections,Adult Corrections,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor
Other Programs,Other Programs,Other Programs,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor
