CodeValue,ShortDescription,Description,Namespace,AssessmentCategoryMap
State alternative assessment/grade-level standards,State alternative assessment/grade-level standards,State alternative assessment/grade-level standards,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,State alternative assessment/grade-level standards
Attitudinal test,Attitudinal test,Attitudinal test,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Attitudinal test
Early Learning - Approaches toward learning,Early Learning - Approaches toward learning,Early Learning - Approaches toward learning,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Early Learning - Approaches toward learning
Interest inventory,Interest inventory,Interest inventory,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Interest inventory
Portfolio assessment,Portfolio assessment,Portfolio assessment,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Portfolio assessment
State high school course assessment,State high school course assessment,State high school course assessment,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,State high school course assessment
Alternate assessment/grade-level standards,Alternate assessment/grade-level standards,Alternate assessment/grade-level standards,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Alternate assessment/grade-level standards
Cognitive and perceptual skills test,Cognitive and perceptual skills test,Cognitive and perceptual skills test,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Cognitive and perceptual skills test
English proficiency screening test,English proficiency screening test,English proficiency screening test,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,English proficiency screening test
Mental ability (intelligence) test,Mental ability (intelligence) test,Mental ability (intelligence) test,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Mental ability (intelligence) test
State assessment,State assessment,State assessment,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,State assessment
Other,Other,Other,http://www.ed-fi.org/Descriptor/AssessmentCategoryDescriptor.xml,Other
