CodeValue,ShortDescription,Description,Namespace,GradeLevelMap
Adult Education,Adult Education,Adult Education,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Adult Education
Early Education,Early Education,Early Education,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Early Education
Eighth grade,Eighth grade,Eighth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Eighth grade
Eleventh grade,Eleventh grade,Eleventh grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Eleventh grade
Fifth grade,Fifth grade,Fifth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Fifth grade
First grade,First grade,First grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,First grade
Fourth grade,Fourth grade,Fourth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Fourth grade
Grade 13,Grade 13,Grade 13,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Grade 13
Infant/toddler,Infant/toddler,Infant/toddler,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Infant/toddler
Kindergarten,Kindergarten,Kindergarten,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Kindergarten
Ninth grade,Ninth grade,Ninth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Ninth grade
Other,Other,Other,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Other
Postsecondary,Postsecondary,Postsecondary,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Postsecondary
Preschool/Prekindergarten,Preschool/Prekindergarten,Preschool/Prekindergarten,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Preschool/Prekindergarten
Second grade,Second grade,Second grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Second grade
Seventh grade,Seventh grade,Seventh grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Seventh grade
Sixth grade,Sixth grade,Sixth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Sixth grade
Tenth grade,Tenth grade,Tenth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Tenth grade
Third grade,Third grade,Third grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Third grade
Twelfth grade,Twelfth grade,Twelfth grade,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Twelfth grade
Ungraded,Ungraded,Ungraded,http://ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Ungraded
