CodeValue,ShortDescription,Description,Namespace,ResponsibilityMap
Accountability,Accountability,Accountability,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Accountability
Attendance,Attendance,Attendance,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Attendance
Funding,Funding,Funding,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Funding
Graduation,Graduation,Graduation,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Graduation
Individualized Education Program,Individualized Education Program,Individualized Education Program,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Individualized Education Program
Transportation,Transportation,Transportation,http://ed-fi.org/Descriptor/ResponsibilityDescriptor.xml,Transportation
