CodeValue,ShortDescription,Description,Namespace,ProgramAssignmentMap
Bilingual/English as a Second Language,Bilingual/English as a Second Language,Bilingual/English as a Second Language,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Bilingual/English as a Second Language
Other,Other,Other,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Other
Regular Education,Regular Education,Regular Education,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Regular Education
Special Education,Special Education,Special Education,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Special Education
Title I-Academic,Title I-Academic,Title I-Academic,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Title I-Academic
Title I-Non-Academic,Title I-Non-Academic,Title I-Non-Academic,http://ed-fi.org/Descriptor/ProgramAssignmentDescriptor.xml,Title I-Non-Academic
