CodeValue,ShortDescription,Description,Namespace,SectionCharacteristicMap
Attendance Tracked,Attendance Tracked,Attendance Tracked,http://ed-fi.org/Descriptor/SectionCharacteristicsDescriptor.xml,Attendance Tracked
Graded Credit Available,Graded Credit Available,Graded Credit Available,http://ed-fi.org/Descriptor/SectionCharacteristicsDescriptor.xml,Graded Credit Available
