CodeValue,ShortDescription,Description,Namespace
Home/Personal,Home/Personal,Home/Personal,uri://ed-fi.org/ElectronicMailTypeDescriptor
Organization,Organization,Organization,uri://ed-fi.org/ElectronicMailTypeDescriptor
Other,Other,Other,uri://ed-fi.org/ElectronicMailTypeDescriptor
Work,Work,Work,uri://ed-fi.org/ElectronicMailTypeDescriptor
