CodeValue,ShortDescription,Description,Namespace
Transfer,Transfer,Transfer,uri://ed-fi.org/EntryTypeDescriptor
New to education system,New to education system,New to education system,uri://ed-fi.org/EntryTypeDescriptor
Next year school,Next year school,Next year school,uri://ed-fi.org/EntryTypeDescriptor
Other,Other,Other,uri://ed-fi.org/EntryTypeDescriptor
Re-entry,Re-entry,Re-entry,uri://ed-fi.org/EntryTypeDescriptor
