CodeValue,ShortDescription,Description,Namespace
Center-EC with SA,Center-EC with SA,Center-EC with SA,uri://ed-fi.org/ProviderCategoryDescriptor
Center-EC,Center-EC,Center-EC,uri://ed-fi.org/ProviderCategoryDescriptor
Center-SA Only,Center-SA Only,Center-SA Only,uri://ed-fi.org/ProviderCategoryDescriptor
Licensed Day Care Center,Licensed Day Care Center,Licensed Day Care Center,uri://ed-fi.org/ProviderCategoryDescriptor
Licensed Family Child Care,Licensed Family Child Care,Licensed Family Child Care,uri://ed-fi.org/ProviderCategoryDescriptor
Licensed Large Family Child Care,Licensed Large Family Child Care,Licensed Large Family Child Care,uri://ed-fi.org/ProviderCategoryDescriptor
Not Applicable,Not Applicable,Not Applicable,uri://ed-fi.org/ProviderCategoryDescriptor
