CodeValue,ShortDescription,Description,Namespace
State,State,State,uri://ed-fi.org/LearningStandardScopeDescriptor
Local education agency,Local education agency,Local education agency,uri://ed-fi.org/LearningStandardScopeDescriptor
School,School,School,uri://ed-fi.org/LearningStandardScopeDescriptor
Classroom,Classroom,Classroom,uri://ed-fi.org/LearningStandardScopeDescriptor
Multi-state or National,Multi-state or National,Multi-state or National,uri://ed-fi.org/LearningStandardScopeDescriptor
International,International,International,uri://ed-fi.org/LearningStandardScopeDescriptor
