CodeValue,ShortDescription,Description,Namespace
State Offense,State Offense,State Offense,uri://ed-fi.org/BehaviorDescriptor
School Violation,School Violation,School Violation,uri://ed-fi.org/BehaviorDescriptor
School Code of Conduct,School Code of Conduct,School Code of Conduct,uri://ed-fi.org/BehaviorDescriptor
Other,Other,Other,uri://ed-fi.org/BehaviorDescriptor
