CodeValue,ShortDescription,Description,Namespace
Negative Grade,Negative Grade,Negative Grade,uri://ed-fi.org/ProgressLevelDescriptor
No Change,No Change,No Change,uri://ed-fi.org/ProgressLevelDescriptor
Up One Grade,Up One Grade,Up One Grade,uri://ed-fi.org/ProgressLevelDescriptor
Up More Than One Grade,Up More Than One Grade,Up More Than One Grade,uri://ed-fi.org/ProgressLevelDescriptor
