CodeValue,ShortDescription,Description,Namespace
Advanced Placement,Advanced Placement,Advanced Placement,uri://ed-fi.org/AdditionalCreditTypeDescriptor
Career and Technical Education,Career and Technical Education,Career and Technical Education,uri://ed-fi.org/AdditionalCreditTypeDescriptor
Dual credit,Dual credit,Dual credit,uri://ed-fi.org/AdditionalCreditTypeDescriptor
International Baccalaureate,International Baccalaureate,International Baccalaureate,uri://ed-fi.org/AdditionalCreditTypeDescriptor
Other,Other,Other,uri://ed-fi.org/AdditionalCreditTypeDescriptor
