CodeValue,ShortDescription,Description,Namespace
Foreign Citizenship Identification,Foreign Citizenship Identification,Foreign Citizenship Identification,uri://ed-fi.org/IdentificationDocumentUseDescriptor
Personal Information Verification,Personal Information Verification,Personal Information Verification,uri://ed-fi.org/IdentificationDocumentUseDescriptor
US Citizenship Identification,US Citizenship Identification,US Citizenship Identification,uri://ed-fi.org/IdentificationDocumentUseDescriptor
