Name,Frequency
Paz,0.000581434
Pina,0.000580556
Reynoso,0.00057861
Valadez,0.000576931
Navarrete,0.000570101
Otero,0.000565522
Aleman,0.000565026
Marrero,0.000563805
Olivas,0.000559913
Arevalo,0.000557128
Ojeda,0.000557128
Fonseca,0.000555754
Quintanilla,0.000555411
Solano,0.000554457
Escamilla,0.000549611
Feliciano,0.000547474
Tellez,0.000547283
Sepulveda,0.000539385
Orellana,0.000537744
Arreola,0.000536828
Betancourt,0.000536676
Carbajal,0.000536332
Amador,0.000534348
Sotelo,0.000532631
Hidalgo,0.000529655
Ocampo,0.00052603
Rendon,0.000525763
Venegas,0.000525648
Negron,0.000523321
Banuelos,0.00052168
Wilson,0.000516911
Patino,0.000515766
Cavazos,0.000514812
Torrez,0.000513743
Matos,0.000510538
Casas,0.000510462
Godinez,0.000509852
Valdes,0.00050844
Longoria,0.00050699
Ledesma,0.000502182
Alaniz,0.000501915
Aranda,0.000499244
Prieto,0.000498977
Vallejo,0.000498824
Polanco,0.000497489
Zarate,0.000492032
Pulido,0.00048753
Arce,0.00048711
Barraza,0.000486576
Mena,0.0004865
Alonzo,0.000484286
Gamboa,0.000479288
Arteaga,0.000476731
Escalante,0.000476159
Valentin,0.000475052
Galvez,0.000472
Brito,0.000471199
Cerda,0.000470779
Zaragoza,0.000468032
Nevarez,0.000467917
Chavarria,0.000462919
Saldivar,0.00046124
Corral,0.000460667
Saavedra,0.000460477
Anderson,0.000459637
Marroquin,0.000459065
Chapa,0.00045895
Mireles,0.000457844
Crespo,0.000457271
Arriaga,0.000457004
Covarrubias,0.000456394
Salcedo,0.000454906
Holguin,0.000453837
Moya,0.000453418
Alcala,0.000452387
Linares,0.000451853
Heredia,0.000450594
Thomas,0.000450174
Ceja,0.000449869
Barrientos,0.000447122
Aponte,0.000443649
Taylor,0.000442543
Montanez,0.000442047
Najera,0.00043991
Rodrigues,0.000439528
Cornejo,0.000438384
Alarcon,0.000437926
Ontiveros,0.00043785
Anguiano,0.000437125
Soriano,0.000431783
Pimentel,0.000430943
Elizondo,0.000428577
Zambrano,0.000426555
Rincon,0.000425105
Mondragon,0.000423503
Cazares,0.000422434
Robledo,0.000415566
Acuna,0.000415452
Bueno,0.000415413
Bustos,0.000415108
Adame,0.000414459
Balderas,0.000412399
Delossantos,0.000410453
Toledo,0.000409194
Valdivia,0.000408965
Naranjo,0.000408354
Perales,0.000405187
Delgadillo,0.000404424
Puente,0.000403623
Frias,0.00040202
Vidal,0.000401181
Moore,0.000399884
Thompson,0.000398319
Guajardo,0.000395953
Negrete,0.000395076
Collazo,0.000393893
Abreu,0.000393855
Ceballos,0.000391756
Jaimes,0.000391375
Batista,0.000390154
Irizarry,0.000390115
Jackson,0.000388894
Espinal,0.000385079
Carrera,0.000384125
Tamayo,0.000383056
Pantoja,0.000380233
Oliva,0.000379508
White,0.00037821
Espino,0.000377791
Benavidez,0.000375539
Ordonez,0.000375501
Noriega,0.000374547
Almanza,0.000374357
Urbina,0.000373784
Limon,0.000370159
Gaytan,0.00036932
Montero,0.000369205
Archuleta,0.000368404
Armenta,0.000366954
Banda,0.000366382
Farias,0.000365962
Tejeda,0.000365657
Fierro,0.00036539
Mojica,0.00036539
Solorzano,0.000365237
Villasenor,0.000363482
Mesa,0.000362528
Mares,0.000360773
Tirado,0.00036062
Lira,0.000359819
Aguayo,0.00035669
Lerma,0.000355049
Argueta,0.000355011
Palma,0.00035482
Jaime,0.000354057
Aquino,0.00035276
Alicea,0.000351806
Clark,0.000351539
Soria,0.000349555
Solorio,0.000347609
Jasso,0.000347074
Valles,0.000346006
Garibay,0.000344976
Cintron,0.000344709
Centeno,0.000343373
Preciado,0.000342648
Loera,0.000341771
Machado,0.000340779
Henriquez,0.00034055
Briones,0.000340397
Armendariz,0.000340015
Giron,0.000338108
Lomeli,0.00033723
Caraballo,0.000336352
Elias,0.000334559
Berrios,0.000333949
Barbosa,0.000332308
Garay,0.000331468
Tejada,0.000328988
Harris,0.000328378
Loya,0.000327424
Angulo,0.000325401
Regalado,0.000324371
Apodaca,0.000324142
Mota,0.00032357
Duenas,0.000323455
Jauregui,0.00032315
Segovia,0.000322654
Robinson,0.000322463
Ulloa,0.000322044
Araujo,0.000321357
Monroy,0.000320975
Roldan,0.000320365
Porras,0.000320288
Padron,0.000319754
Cadena,0.000319602
Vergara,0.000319334
Lewis,0.000319106
Alcantar,0.000318495
Delagarza,0.000317961
Ferrer,0.000316511
Delvalle,0.000316053
Munguia,0.000315824
Fajardo,0.000312657
Pedraza,0.000311283
Santillan,0.000310978
Lee,0.000309795
Razo,0.000309261
Aparicio,0.000306361
Walker,0.000306056
Cabral,0.000305674
Carlos,0.000305293
Angel,0.000304606
Salcido,0.000304491
Quinonez,0.000304148
Roque,0.000301592
Sauceda,0.000300638
Young,0.000300485
Estrella,0.000300332
Falcon,0.000297547
Carreon,0.000297547
Briseno,0.000296631
Florez,0.000295029
Llamas,0.000294418
Cepeda,0.000294113
Olivarez,0.000293083
Camarena,0.00029251
Altamirano,0.000291633
Ruelas,0.000291327
Botello,0.000290831
Resendez,0.000290564
Urena,0.000290297
Millan,0.000288122
Alba,0.00028755
Perea,0.000287054
Allen,0.000286443
Ruvalcaba,0.000285604
Sifuentes,0.000285489
Pedroza,0.000284726
Ramon,0.000284192
Terrazas,0.000284078
Corrales,0.00028362
Guardado,0.000282361
Alcaraz,0.000280796
Resendiz,0.000280376
Montiel,0.00027927
Menendez,0.000279117
Soliz,0.000278888
Caceres,0.000278583
Almonte,0.000278507
Adams,0.0002774
Amaro,0.00027679
Villareal,0.000276561
Lorenzo,0.000276408
Galarza,0.000276408
Zelaya,0.000276141
Camarillo,0.000275759
Bolanos,0.000274844
Arenas,0.000273699
Jacobo,0.000273661
Montez,0.000273317
Villagomez,0.000273165
Godoy,0.000273088
Zamudio,0.000273012
Landeros,0.000272898
Curiel,0.000272707
Alanis,0.000272592
King,0.000271371
Serrato,0.000271333
Aceves,0.000271181
Ocasio,0.000271104
Narvaez,0.000271028
Tafoya,0.000269807
Green,0.000269769
Scott,0.000269311
Ambriz,0.000268586
Larios,0.000268471
Orosco,0.000267975
Carrion,0.000266449
Valladares,0.000266296
Estevez,0.00026622
Montenegro,0.00026561
Nino,0.000265266
Pichardo,0.000264389
Nelson,0.000264274
Tello,0.000264083
Hernandes,0.000263473
Lebron,0.000262481
Bello,0.000262023
Olguin,0.000261832
Paez,0.000261832
Tijerina,0.000261756
Manzo,0.000261527
Martines,0.000260878
Toro,0.000259466
Calvillo,0.000258818
Iglesias,0.000258551
Echevarria,0.000258474
Trinidad,0.000258093
Hill,0.000257673
Rivero,0.00025733
Cedillo,0.000257101
Lazo,0.00025607
Wright,0.000255422
Griego,0.000253132
Hall,0.00025298
Lucio,0.000252217
Valerio,0.000251911
Maciel,0.000251873
Baltazar,0.000251835
Paniagua,0.000251682
Sanches,0.000250881
Deluna,0.000250271
Delrio,0.000250118
Mateo,0.000248897
Viera,0.000247867
Olmos,0.000247714
Infante,0.000246302
Miramontes,0.00024615
Partida,0.000245615
Olivo,0.000244623
Maestas,0.000244127
Rojo,0.000243937
Barba,0.000243898
Mayorga,0.000243784
Rodarte,0.000243631
Concepcion,0.000243135
Tavarez,0.000242906
Iniguez,0.000242487
Merino,0.000241876
Palomino,0.000241266
Badillo,0.000241227
Pardo,0.000240884
Aldana,0.000240808
Armijo,0.000240388
Gaona,0.000239014
Ledezma,0.000238328
Taveras,0.000238251
Deanda,0.000237984
Cedeno,0.000237793
Mosqueda,0.00023703
Santamaria,0.000236305
Valdovinos,0.000235313
Chavira,0.000234512
Maya,0.000234474
Jurado,0.000234207
Campbell,0.000234168
Avina,0.000233825
Pereira,0.000233253
Bahena,0.000232986
Loza,0.000232337
Sarmiento,0.000231955
Baker,0.000231841
Ballesteros,0.000231688
Gracia,0.000231307
Mariscal,0.000231078
Tinoco,0.000231078
Perdomo,0.000229895
Mendiola,0.000229551
Mitchell,0.000228521
Rueda,0.000228483
Menchaca,0.000228445
Sanabria,0.00022833
Baeza,0.000227148
Montelongo,0.00022669
Alfonso,0.000226308
Candelaria,0.000226041
Cota,0.000225659
Morin,0.000225087
Tamez,0.000224973
Arguello,0.000224744
Rodas,0.000224706
Cardoza,0.000224667
Barreto,0.000223446
Echeverria,0.00022295
Valverde,0.000222798
Collado,0.000222264
Arana,0.000221844
Nolasco,0.000221653
Roberts,0.000220775
Carvajal,0.000220012
Paulino,0.000219898
Madera,0.000219745
Meraz,0.000219516
Camargo,0.000219287
Pinto,0.000218677
Islas,0.000217837
Magallanes,0.000217379
Plascencia,0.000217341
Villalpando,0.00021654
Barela,0.000216464
Alcantara,0.000216197
Quesada,0.000216197
Santoyo,0.000215548
Jordan,0.000215204
Angeles,0.00021509
Lovato,0.000214556
Ramires,0.000214403
Frausto,0.000213526
Sarabia,0.000213258
Lozada,0.000212457
Zayas,0.000212419
Phillips,0.000212114
Francisco,0.000211618
Jaquez,0.000211389
Lima,0.000210397
Carter,0.000210282
Palacio,0.000210091
Cartagena,0.000209901
Manriquez,0.000209061
Samaniego,0.000208184
Pelayo,0.000208069
Montemayor,0.000207878
Villatoro,0.000207764
Jara,0.000207459
Santacruz,0.000206924
Moncada,0.00020681
Casarez,0.000206199
Abarca,0.000206047
Grijalva,0.000205971
Morris,0.00020578
Magdaleno,0.000205589
Urias,0.000205207
Puentes,0.00020475
Pino,0.000204253
Conde,0.000203719
Matias,0.000203185
Almaraz,0.000202956
Vaca,0.000202804
Evans,0.000202422
Casanova,0.000201811
Gaitan,0.000201315
Teran,0.000201277
Orta,0.000199637
Rogers,0.000198835
Zamarripa,0.000197423
Osuna,0.000197233
Edwards,0.000197194
Restrepo,0.000197118
